기준년월,기준년,기준월,시도코드,시도명,상영영화수,영화관람객수,지출금액,인구당영화관람객수,영화관람객수점수,지출금액점수,종합점수,기준상영영화수,기준영화관람객수,기준지출금액
201904,2019,4,50,제주도,44,142939,1187452610.0,213.77317,84.07385,65.91394,74.9939,234.58333,2410351.25,25540506805.66667
201904,2019,4,51,강원도,77,332021,2662317610.0,215.48695,84.74785,64.13186,74.43986,234.58333,2410351.25,25540506805.66667
201905,2019,5,0,전국,460,18062457,154563004957.0,348.42475,137.03034,110.66143,123.84588,234.58333,2410351.25,25540506805.66667
201905,2019,5,11,서울시,286,4603575,41323495587.0,471.57814,185.46476,157.1137,171.28923,234.58333,2410351.25,25540506805.66667
201905,2019,5,26,부산시,118,1329958,11059679880.0,387.78865,152.51158,119.69011,136.10085,234.58333,2410351.25,25540506805.66667
201905,2019,5,27,대구시,126,920885,7935235070.0,375.52028,147.68661,120.10093,133.89377,234.58333,2410351.25,25540506805.66667
201905,2019,5,28,인천시,102,942363,8112242400.0,318.66958,125.32807,101.81737,113.57272,234.58333,2410351.25,25540506805.66667
201905,2019,5,29,광주시,75,632141,5296586310.0,433.26916,170.3984,134.74059,152.56949,234.58333,2410351.25,25540506805.66667
201905,2019,5,30,대전시,75,620466,5392701770.0,417.99167,164.38999,134.83871,149.61435,234.58333,2410351.25,25540506805.66667
201905,2019,5,31,울산시,51,391917,3339060840.0,340.29878,133.83452,107.60915,120.72183,234.58333,2410351.25,25540506805.66667
201905,2019,5,36,세종시,25,93453,766299690.0,286.86187,112.81856,87.30453,100.06155,234.58333,2410351.25,25540506805.66667
201905,2019,5,41,경기도,135,4320995,37215287560.0,328.70571,129.27513,105.07597,117.17555,234.58333,2410351.25,25540506805.66667
201905,2019,5,43,충청북도,61,478587,3948058290.0,299.14417,117.64901,91.59289,104.62095,234.58333,2410351.25,25540506805.66667
201905,2019,5,44,충청남도,96,594963,4942155420.0,279.88618,110.07512,86.29119,98.18316,234.58333,2410351.25,25540506805.66667
201905,2019,5,45,전라북도,94,535420,4329668270.0,292.92001,115.20114,87.91594,101.55854,234.58333,2410351.25,25540506805.66667
201905,2019,5,46,전라남도,48,393070,3032563900.0,210.00493,82.59185,60.13511,71.36348,234.58333,2410351.25,25540506805.66667
201905,2019,5,47,경상북도,110,575131,4619159480.0,215.42657,84.72411,64.21759,74.47085,234.58333,2410351.25,25540506805.66667
201905,2019,5,48,경상남도,145,978861,7989289820.0,290.64803,114.3076,88.0467,101.17715,234.58333,2410351.25,25540506805.66667
201905,2019,5,50,제주도,41,203482,1700879300.0,304.00939,119.56243,94.31767,106.94005,234.58333,2410351.25,25540506805.66667
201905,2019,5,51,강원도,73,447190,3560641370.0,290.23687,114.1459,85.77235,99.95912,234.58333,2410351.25,25540506805.66667
201906,2019,6,0,전국,459,22845579,195237798708.0,440.67163,173.30968,139.77689,156.54329,234.58333,2410351.25,25540506805.66667
201906,2019,6,11,서울시,256,6152619,54654504528.0,630.57581,247.99621,207.9035,227.94986,234.58333,2410351.25,25540506805.66667
201906,2019,6,26,부산시,113,1558035,13178339890.0,454.55142,178.7684,142.70036,160.73438,234.58333,2410351.25,25540506805.66667
201906,2019,6,27,대구시,109,1164295,9921101290.0,475.12975,186.86156,150.26839,168.56497,234.58333,2410351.25,25540506805.66667
201906,2019,6,28,인천시,101,1180251,10107186340.0,399.13474,156.97383,126.86271,141.91827,234.58333,2410351.25,25540506805.66667
201906,2019,6,29,광주시,69,798492,6647038410.0,547.27818,215.23648,169.09249,192.16448,234.58333,2410351.25,25540506805.66667
201906,2019,6,30,대전시,78,775316,6649578000.0,522.82429,205.61912,166.42925,186.02418,234.58333,2410351.25,25540506805.66667
201906,2019,6,31,울산시,44,456650,3872906910.0,396.63824,155.992,124.85523,140.42361,234.58333,2410351.25,25540506805.66667
201906,2019,6,36,세종시,29,121045,991751220.0,369.44174,145.29601,112.34672,128.82137,234.58333,2410351.25,25540506805.66667
201906,2019,6,41,경기도,126,5618210,48153821670.0,426.94232,167.91015,135.81901,151.86458,234.58333,2410351.25,25540506805.66667
201906,2019,6,43,충청북도,66,598025,4976904110.0,373.8474,147.0287,115.4763,131.2525,234.58333,2410351.25,25540506805.66667
201906,2019,6,44,충청남도,83,704981,5915891750.0,331.62234,130.4222,103.28688,116.85454,234.58333,2410351.25,25540506805.66667
201906,2019,6,45,전라북도,92,667856,5377459930.0,365.60452,143.78689,109.26082,126.52386,234.58333,2410351.25,25540506805.66667
201906,2019,6,46,전라남도,47,475251,3695731910.0,254.06517,99.9201,73.3299,86.625,234.58333,2410351.25,25540506805.66667
201906,2019,6,47,경상북도,78,684039,5549143050.0,256.20878,100.76315,77.14319,88.95317,234.58333,2410351.25,25540506805.66667
201906,2019,6,48,경상남도,165,1105635,9174634810.0,328.375,129.14507,101.13597,115.14052,234.58333,2410351.25,25540506805.66667
201906,2019,6,50,제주도,38,241066,2021942160.0,359.92302,141.55244,112.04719,126.79981,234.58333,2410351.25,25540506805.66667
201906,2019,6,51,강원도,73,543813,4349862730.0,352.92938,138.80194,104.77854,121.79024,234.58333,2410351.25,25540506805.66667
201907,2019,7,0,전국,425,21916465,184101302717.0,422.72555,166.25176,131.79636,149.02406,234.58333,2410351.25,25540506805.66667
201907,2019,7,11,서울시,238,5754971,50933689227.0,590.16779,232.10433,193.8635,212.98392,234.58333,2410351.25,25540506805.66667
201907,2019,7,26,부산시,108,1462385,12116230330.0,426.93421,167.90696,131.28808,149.59752,234.58333,2410351.25,25540506805.66667
201907,2019,7,27,대구시,109,1139055,9545241240.0,465.17369,182.94598,144.68247,163.81423,234.58333,2410351.25,25540506805.66667
201907,2019,7,28,인천시,96,1126520,9466368870.0,380.98936,149.83752,118.82722,134.33237,234.58333,2410351.25,25540506805.66667
201907,2019,7,29,광주시,82,755182,6145259260.0,517.43011,203.49767,156.27836,179.88801,234.58333,2410351.25,25540506805.66667
201907,2019,7,30,대전시,75,750923,6310216230.0,506.79793,199.31619,158.06737,178.69178,234.58333,2410351.25,25540506805.66667
201907,2019,7,31,울산시,50,438010,3719377210.0,380.58339,149.67786,119.94844,134.81315,234.58333,2410351.25,25540506805.66667
201907,2019,7,36,세종시,29,119699,958906650.0,362.39699,142.52542,107.7529,125.13916,234.58333,2410351.25,25540506805.66667
201907,2019,7,41,경기도,138,5458561,45878302880.0,414.28024,162.93034,129.23554,146.08294,234.58333,2410351.25,25540506805.66667
201907,2019,7,43,충청북도,66,585379,4707838830.0,366.00645,143.94496,109.25259,126.59878,234.58333,2410351.25,25540506805.66667
201907,2019,7,44,충청남도,93,692564,5639426000.0,325.85895,128.15554,98.48344,113.31949,234.58333,2410351.25,25540506805.66667
201907,2019,7,45,전라북도,100,648977,5095163640.0,355.52961,139.82458,103.60082,121.7127,234.58333,2410351.25,25540506805.66667
201907,2019,7,46,전라남도,46,453540,3413900270.0,242.68322,95.44375,67.8006,81.62218,234.58333,2410351.25,25540506805.66667
201907,2019,7,47,경상북도,89,659579,5167851130.0,247.14108,97.19696,71.86984,84.5334,234.58333,2410351.25,25540506805.66667
201907,2019,7,48,경상남도,142,1073365,8698518480.0,318.85734,125.40191,95.90756,110.65474,234.58333,2410351.25,25540506805.66667
201907,2019,7,50,제주도,35,244997,2016500670.0,365.55313,143.76668,111.67261,127.71965,234.58333,2410351.25,25540506805.66667
201907,2019,7,51,강원도,75,552758,4288511800.0,358.76743,141.09796,103.31019,122.20407,234.58333,2410351.25,25540506805.66667
201908,2019,8,0,전국,436,24786121,208958173044.0,478.05782,188.01312,149.5856,168.79936,234.58333,2410351.25,25540506805.66667
201908,2019,8,11,서울시,232,5742547,50061863884.0,589.28815,231.75838,190.67279,211.21559,234.58333,2410351.25,25540506805.66667
201908,2019,8,26,부산시,105,1763093,14804018040.0,515.041,202.55807,160.51098,181.53452,234.58333,2410351.25,25540506805.66667
